47.0,0.0,76867.99503851938,0.0,387610.2781966288,29.0,198165.20387198916,22273.735221049843,6.0,0
42.0,7.0,0.0,0.0,94495.90767121849,3.0,382757.8442547516,82343.82940960408,8.0,1
41.0,2.0,0.0,1.0,206138.33184915743,3.0,226197.7684948669,84806.70390320399,6.0,1
69.0,5.0,0.0,0.0,762151.5410684916,29.0,352349.2229531903,106541.79375487819,2.0,1
22.0,12.0,0.0,2.0,258470.56823342163,4.0,331115.90533490124,141515.17457868467,5.0,0
35.0,2.0,43013.987067379705,0.0,629961.8787473051,15.0,481538.95866345183,68311.78799101672,1.0,1
21.0,2.0,45409.0494093206,4.0,1047290.2457708996,4.0,454582.83487766,43330.50362319993,1.0,1
24.0,12.0,23658.062936802067,2.0,807652.6039216539,15.0,258849.91416950003,59789.87566288789,1.0,1
59.0,0.0,0.0,4.0,535581.4390802514,27.0,458841.77054099896,114653.11978101755,3.0,1
46.0,9.0,31309.43486000016,3.0,616536.2554836284,25.0,353579.8773421435,33162.28216812537,2.0,1
75.0,0.0,65234.8498701506,0.0,502620.72702277434,18.0,394285.11944033345,44476.49501588586,3.0,1
80.0,8.0,0.0,4.0,77836.52558261488,1.0,195207.9273170315,110672.96450412106,8.0,0
52.0,4.0,45434.2079162598,2.0,262138.6886508833,4.0,380237.7723399553,41305.42492917327,4.0,1
25.0,19.0,0.0,1.0,1339376.8062091495,21.0,215604.4714425483,130599.94097751904,0.0,0
23.0,2.0,0.0,0.0,538352.0701949481,23.0,57397.92824254908,144546.74564975488,4.0,0
60.0,15.0,30926.626732682653,4.0,562256.7990033965,21.0,352035.7698739113,23739.752317891176,3.0,1
65.0,14.0,0.0,2.0,68533.8655789145,11.0,77939.07131294509,112003.01735994285,8.0,0
36.0,1.0,0.0,0.0,415398.0690126624,26.0,465802.74488479685,141558.06485704315,2.0,1
36.0,19.0,0.0,3.0,184437.4344289217,21.0,81786.62819709365,136925.30344098085,7.0,0
49.0,19.0,48709.59486100464,1.0,261286.48432699425,24.0,102667.06894269628,23426.880007347,7.0,0
38.0,1.0,0.0,1.0,470442.6833574667,20.0,325474.11669651745,84096.477581443,3.0,1
31.0,1.0,0.0,3.0,828121.8992737995,14.0,206846.82468509403,83739.62405111492,2.0,1
46.0,5.0,27715.597536601756,3.0,194253.79628441727,5.0,322910.48029927426,50978.23947615291,7.0,1
48.0,3.0,0.0,4.0,517824.9078130274,23.0,477846.7514848887,138062.6311741221,3.0,1
42.0,15.0,35014.55925707823,3.0,1183078.9133640146,14.0,360327.896270552,65551.10027293768,1.0,1
60.0,12.0,43657.322352463314,2.0,982592.8882095905,9.0,416965.92574715026,49580.630111683204,1.0,1
48.0,11.0,0.0,0.0,311730.2671212469,29.0,193013.42284553623,147400.82352975843,3.0,0
76.0,9.0,0.0,2.0,1165098.1714433893,29.0,440630.92756359314,84606.95156684367,0.0,1
38.0,14.0,0.0,1.0,498306.71367874055,29.0,450059.5131929664,109899.39347518685,4.0,1
36.0,0.0,56573.950277370546,1.0,882990.6551394623,14.0,371293.404776773,55522.44279178341,3.0,1
40.0,7.0,69664.803027684,0.0,230669.96186569106,22.0,249804.30277102845,69120.83799505858,5.0,0
